FIPS,County name,State,Year,Population
46003,Aurora County,South Dakota,1990,3135
46005,Beadle County,South Dakota,1990,18253
46007,Bennett County,South Dakota,1990,3206
46009,Bon Homme County,South Dakota,1990,7089
46011,Brookings County,South Dakota,1990,25207
46013,Brown County,South Dakota,1990,35580
46015,Brule County,South Dakota,1990,5485
46017,Buffalo County,South Dakota,1990,1759
46019,Butte County,South Dakota,1990,7914
46021,Campbell County,South Dakota,1990,1965
46023,Charles Mix County,South Dakota,1990,9131
46025,Clark County,South Dakota,1990,4403
46027,Clay County,South Dakota,1990,13186
46029,Codington County,South Dakota,1990,22698
46031,Corson County,South Dakota,1990,4195
46033,Custer County,South Dakota,1990,6179
46035,Davison County,South Dakota,1990,17503
46037,Day County,South Dakota,1990,6978
46039,Deuel County,South Dakota,1990,4522
46041,Dewey County,South Dakota,1990,5523
46043,Douglas County,South Dakota,1990,3746
46045,Edmunds County,South Dakota,1990,4356
46047,Fall River County,South Dakota,1990,7353
46049,Faulk County,South Dakota,1990,2744
46051,Grant County,South Dakota,1990,8372
46053,Gregory County,South Dakota,1990,5359
46055,Haakon County,South Dakota,1990,2624
46057,Hamlin County,South Dakota,1990,4974
46059,Hand County,South Dakota,1990,4272
46061,Hanson County,South Dakota,1990,2994
46063,Harding County,South Dakota,1990,1669
46065,Hughes County,South Dakota,1990,14817
46067,Hutchinson County,South Dakota,1990,8262
46069,Hyde County,South Dakota,1990,1696
46071,Jackson County,South Dakota,1990,2811
46073,Jerauld County,South Dakota,1990,2425
46075,Jones County,South Dakota,1990,1324
46077,Kingsbury County,South Dakota,1990,5925
46079,Lake County,South Dakota,1990,10550
46081,Lawrence County,South Dakota,1990,20655
46083,Lincoln County,South Dakota,1990,15427
46085,Lyman County,South Dakota,1990,3638
46087,McCook County,South Dakota,1990,5688
46089,McPherson County,South Dakota,1990,3228
46091,Marshall County,South Dakota,1990,4844
46093,Meade County,South Dakota,1990,21878
46095,Mellette County,South Dakota,1990,2137
46097,Miner County,South Dakota,1990,3272
46099,Minnehaha County,South Dakota,1990,123809
46101,Moody County,South Dakota,1990,6507
46102,Oglala Lakota County,South Dakota,1990,9902
46103,Pennington County,South Dakota,1990,81343
46105,Perkins County,South Dakota,1990,3932
46107,Potter County,South Dakota,1990,3190
46109,Roberts County,South Dakota,1990,9914
46111,Sanborn County,South Dakota,1990,2833
46115,Spink County,South Dakota,1990,7981
46117,Stanley County,South Dakota,1990,2453
46119,Sully County,South Dakota,1990,1589
46121,Todd County,South Dakota,1990,8352
46123,Tripp County,South Dakota,1990,6924
46125,Turner County,South Dakota,1990,8576
46127,Union County,South Dakota,1990,10189
46129,Walworth County,South Dakota,1990,6087
46135,Yankton County,South Dakota,1990,19252
46137,Ziebach County,South Dakota,1990,2220
72001,Adjuntas Municipio,Puerto Rico,1990,19451
72003,Aguada Municipio,Puerto Rico,1990,35911
72005,Aguadilla Municipio,Puerto Rico,1990,59335
72007,Aguas Buenas Municipio,Puerto Rico,1990,25424
72009,Aibonito Municipio,Puerto Rico,1990,24971
72011,AÒasco Municipio,Puerto Rico,1990,25234
72013,Arecibo Municipio,Puerto Rico,1990,93385
72015,Arroyo Municipio,Puerto Rico,1990,18910
72017,Barceloneta Municipio,Puerto Rico,1990,20947
72019,Barranquitas Municipio,Puerto Rico,1990,25605
72021,BayamÛn Municipio,Puerto Rico,1990,220262
72023,Cabo Rojo Municipio,Puerto Rico,1990,38521
72025,Caguas Municipio,Puerto Rico,1990,133447
72027,Camuy Municipio,Puerto Rico,1990,28917
72029,CanÛvanas Municipio,Puerto Rico,1990,36816
72031,Carolina Municipio,Puerto Rico,1990,177806
72033,CataÒo Municipio,Puerto Rico,1990,34587
72035,Cayey Municipio,Puerto Rico,1990,46553
72037,Ceiba Municipio,Puerto Rico,1990,17145
72039,Ciales Municipio,Puerto Rico,1990,18084
72041,Cidra Municipio,Puerto Rico,1990,35601
72043,Coamo Municipio,Puerto Rico,1990,33837
72045,ComerÌo Municipio,Puerto Rico,1990,20265
72047,Corozal Municipio,Puerto Rico,1990,33095
72049,Culebra Municipio,Puerto Rico,1990,1542
72051,Dorado Municipio,Puerto Rico,1990,30759
72053,Fajardo Municipio,Puerto Rico,1990,36882
72054,Florida Municipio,Puerto Rico,1990,8689
72055,Gu·nica Municipio,Puerto Rico,1990,19984
72057,Guayama Municipio,Puerto Rico,1990,41588
72059,Guayanilla Municipio,Puerto Rico,1990,21581
72061,Guaynabo Municipio,Puerto Rico,1990,92886
72063,Gurabo Municipio,Puerto Rico,1990,28737
72065,Hatillo Municipio,Puerto Rico,1990,32703
72067,Hormigueros Municipio,Puerto Rico,1990,15212
72069,Humacao Municipio,Puerto Rico,1990,55203
72071,Isabela Municipio,Puerto Rico,1990,39147
72073,Jayuya Municipio,Puerto Rico,1990,15527
72075,Juana DÌaz Municipio,Puerto Rico,1990,45198
72077,Juncos Municipio,Puerto Rico,1990,30612
72079,Lajas Municipio,Puerto Rico,1990,23271
72081,Lares Municipio,Puerto Rico,1990,29015
72083,Las MarÌas Municipio,Puerto Rico,1990,9306
72085,Las Piedras Municipio,Puerto Rico,1990,27896
72087,LoÌza Municipio,Puerto Rico,1990,29307
72089,Luquillo Municipio,Puerto Rico,1990,18100
72091,ManatÌ Municipio,Puerto Rico,1990,38692
72093,Maricao Municipio,Puerto Rico,1990,6206
72095,Maunabo Municipio,Puerto Rico,1990,12347
72097,Mayag¸ez Municipio,Puerto Rico,1990,100371
72099,Moca Municipio,Puerto Rico,1990,32926
72101,Morovis Municipio,Puerto Rico,1990,25288
72103,Naguabo Municipio,Puerto Rico,1990,22620
72105,Naranjito Municipio,Puerto Rico,1990,27914
72107,Orocovis Municipio,Puerto Rico,1990,21158
72109,Patillas Municipio,Puerto Rico,1990,19633
72111,PeÒuelas Municipio,Puerto Rico,1990,22515
72113,Ponce Municipio,Puerto Rico,1990,187749
72115,Quebradillas Municipio,Puerto Rico,1990,21425
72117,RincÛn Municipio,Puerto Rico,1990,12213
72119,RÌo Grande Municipio,Puerto Rico,1990,45648
72121,Sabana Grande Municipi,Puerto Rico,1990,22843
72123,Salinas Municipio,Puerto Rico,1990,28335
72125,San Germ·n Municipio,Puerto Rico,1990,34962
72127,San Juan Municipio,Puerto Rico,1990,437745
72129,San Lorenzo Municipio,Puerto Rico,1990,35163
72131,San Sebasti·n Municipi,Puerto Rico,1990,38799
72133,Santa Isabel Municipio,Puerto Rico,1990,19318
72135,Toa Alta Municipio,Puerto Rico,1990,44101
72137,Toa Baja Municipio,Puerto Rico,1990,89454
72139,Trujillo Alto Municipi,Puerto Rico,1990,61120
72141,Utuado Municipio,Puerto Rico,1990,34980
72143,Vega Alta Municipio,Puerto Rico,1990,34559
72145,Vega Baja Municipio,Puerto Rico,1990,55997
